"FID_1,N,9,0","Id,N,6,0","FID_2,N,9,0","AREA,N,13,11","PERIMETER,N,13,11","AREA_KM2,N,19,11","PERIMETER_,N,19,11","STRATUM,N,14,0","STATION,C,8","LONGITUDE,N,19,11","LATITUDE,N,19,11"
120776,0,6102,25260600,20130.8,25.260666,20.1308515625,230,256-151,-148.869284787,58.8844142019
120956,0,6103,3772160,11462.3,3.772203,11.4622470703,241,393-131,-137.566493088,57.916488055
120020,0,6104,25091500,20069.3,25.091534,20.0693535156,132,212-153,-152.481010827,58.9442030821
120720,0,6104,25091500,20069.3,25.091534,20.0693535156,132,212-153,-152.47953271,58.9773290493
120952,0,6106,7132670,13361.5,7.132663,13.3615546875,241,390-131,-137.809790433,57.9487389493
120953,0,6106,7132670,13361.5,7.132663,13.3615546875,241,390-131,-137.748924244,57.9407205027
120018,0,6107,25086900,20067.6,25.086898,20.0676054687,132,211-153,-152.61011648,58.9456543112
120019,0,6107,25086900,20067.6,25.086898,20.0676054687,132,211-153,-152.545562279,58.9449447968
120718,0,6107,25086900,20067.6,25.086898,20.0676054687,132,211-153,-152.608763918,58.9787816634
120719,0,6107,25086900,20067.6,25.086898,20.0676054687,132,211-153,-152.544146935,58.9780714719
120942,0,6108,5067890,12635,5.06791,12.6350439453,440,382-133,-138.419965473,58.0272949496
120054,0,6109,25254600,20129.8,25.254712,20.1298183594,131,239-152,-150.288764156,58.8998455205
120055,0,6109,25254600,20129.8,25.254712,20.1298183594,131,239-152,-150.224385327,58.8979787264
120754,0,6109,25254600,20129.8,25.254712,20.1298183594,131,239-152,-150.285159045,58.9329292216
120755,0,6109,25254600,20129.8,25.254712,20.1298183594,131,239-152,-150.220717947,58.9310606515
120017,0,6111,25091600,20069.4,25.091566,20.0693652344,132,210-153,-152.674673308,58.9463316232
120717,0,6111,25091600,20069.4,25.091566,20.0693652344,132,210-153,-152.673383534,58.9794596219
120955,0,6112,7927390,13137.3,7.9274315,13.1373125,341,392-131,-137.627275488,57.924595036
120951,0,6113,1693510,7060.32,1.693472625,7.0602978516,341,389-132,-137.870684387,57.9567278455
120016,0,6114,25091600,20069.4,25.09155,20.069359375,132,209-153,-152.73923264,58.946976731
120716,0,6114,25091600,20069.4,25.09155,20.069359375,132,209-153,-152.738005664,58.9801053454
120946,0,6116,4380700,11473.5,4.380686,11.4734853516,440,385-132,-138.175567677,57.9962283908
120075,0,6118,25107400,20072.9,25.10738,20.0729257812,230,255-151,-148.938459164,58.8539155898
120775,0,6118,25107400,20072.9,25.10738,20.0729257812,230,255-151,-148.933551181,58.886955662
120015,0,6120,25240100,20125.4,25.240004,20.1253378906,132,208-153,-152.803794356,58.9475896328
120715,0,6120,25240100,20125.4,25.240004,20.1253378906,132,208-153,-152.802630183,58.9807188322
